505,2021-05-30 10-24-10,919,311,655
506,2021-05-30 10-24-20,933,312,668
507,2021-05-30 10-24-30,918,312,651
508,2021-05-30 10-24-40,817,311,544
509,2021-05-30 10-24-50,645,308,363
510,2021-05-30 10-25-00,855,312,583
511,2021-05-30 10-25-10,856,313,583
512,2021-05-30 10-25-20,859,315,585
513,2021-05-30 10-25-30,906,317,633
514,2021-05-30 10-25-40,934,319,660
515,2021-05-30 10-25-50,942,320,667
516,2021-05-30 10-26-00,934,321,658
517,2021-05-30 10-26-10,940,323,662
518,2021-05-30 10-26-20,925,324,645
519,2021-05-30 10-26-30,924,325,643
520,2021-05-30 10-26-40,929,326,647
521,2021-05-30 10-26-50,941,327,659
522,2021-05-30 10-27-00,950,328,667
523,2021-05-30 10-27-10,954,328,671
524,2021-05-30 10-27-20,953,328,670
525,2021-05-30 10-27-30,956,327,674
526,2021-05-30 10-27-40,954,327,672
527,2021-05-30 10-27-50,956,326,674
528,2021-05-30 10-28-00,950,326,668
529,2021-05-30 10-28-10,951,326,669
530,2021-05-30 10-28-20,960,327,678
531,2021-05-30 10-28-30,965,328,682
532,2021-05-30 10-28-40,968,329,684
533,2021-05-30 10-28-50,975,330,690
534,2021-05-30 10-29-00,974,330,689
535,2021-05-30 10-29-10,971,326,689
536,2021-05-30 10-29-20,911,314,638
537,2021-05-30 10-29-30,846,299,585
538,2021-05-30 10-29-40,755,284,504
539,2021-05-30 10-29-50,710,276,463
540,2021-05-30 10-30-00,785,290,529
541,2021-05-30 10-30-10,946,310,678
542,2021-05-30 10-30-20,974,319,699
543,2021-05-30 10-30-30,980,322,702
544,2021-05-30 10-30-40,985,323,706
545,2021-05-30 10-30-50,988,323,709
546,2021-05-30 10-31-00,989,325,708
547,2021-05-30 10-31-10,991,326,710
548,2021-05-30 10-31-20,991,326,709
549,2021-05-30 10-31-30,988,326,706
550,2021-05-30 10-31-40,989,327,706
551,2021-05-30 10-31-50,989,326,706
552,2021-05-30 10-32-00,986,326,703
553,2021-05-30 10-32-10,976,325,693
554,2021-05-30 10-32-20,972,326,688
555,2021-05-30 10-32-30,958,324,674
556,2021-05-30 10-32-40,961,324,677
557,2021-05-30 10-32-50,962,324,678
558,2021-05-30 10-33-00,967,324,684
559,2021-05-30 10-33-10,966,323,683
560,2021-05-30 10-33-20,961,323,679
561,2021-05-30 10-33-30,964,323,681
562,2021-05-30 10-33-40,958,322,676
563,2021-05-30 10-33-50,958,321,677
564,2021-05-30 10-34-00,957,320,676
565,2021-05-30 10-34-10,960,320,679
566,2021-05-30 10-34-20,969,320,689
567,2021-05-30 10-34-30,968,320,688
568,2021-05-30 10-34-40,965,320,685
569,2021-05-30 10-34-50,965,319,685
570,2021-05-30 10-35-00,974,319,695
571,2021-05-30 10-35-10,974,319,695
572,2021-05-30 10-35-20,974,318,696
573,2021-05-30 10-35-30,973,317,696
574,2021-05-30 10-35-40,965,317,687
575,2021-05-30 10-35-50,963,317,685
576,2021-05-30 10-36-00,959,317,680
577,2021-05-30 10-36-10,951,317,672
578,2021-05-30 10-36-20,952,317,673
579,2021-05-30 10-36-30,946,317,666
580,2021-05-30 10-36-40,935,318,653
581,2021-05-30 10-36-50,941,319,658
582,2021-05-30 10-37-00,932,320,648
583,2021-05-30 10-37-10,947,321,662
584,2021-05-30 10-37-20,955,322,670
585,2021-05-30 10-37-30,940,323,653
586,2021-05-30 10-37-40,957,324,669
587,2021-05-30 10-37-50,964,325,676
588,2021-05-30 10-38-00,963,326,674
589,2021-05-30 10-38-10,953,326,663
590,2021-05-30 10-38-20,948,326,658
591,2021-05-30 10-38-30,950,326,659
592,2021-05-30 10-38-40,948,326,658
593,2021-05-30 10-38-50,948,325,658
594,2021-05-30 10-39-00,948,324,659
595,2021-05-30 10-39-10,949,324,660
